Organization,count
 Andes,5
 Imperas,5
 IAR Systems,5
 SEGGER,4
 Hex Five Security Inc.,3
" Anup Patel (Western Digital), Atish Patra (Western Digital)",3
 Green Hills,3
 Alex Bradbury (lowRISC),2
 PQShield,2
" Mentor, a Siemens Business",2
 BaseALT Ltd.,2
 Liviu Ionescu,2
 Ashling,2
 RT-Thread,2
 OneSpin,2
 SiFive,2
" RIOS, Futurewei, PLCT Lab",2
" James Pace, Runtime",1
 Andreas Schwab (SUSE),1
" Richard WM Jones, Stefan Oâ€™Rear, David Abdurachmanov",1
 National Security Agency,1
" Dover Microsystems, Inc.",1
" Palmer Dabbelt (University of California, Berkeley)",1
" Zephyr Project, The Linux Foundation",1
 Wind River,1
 Bernhard â€œBeroâ€ RosenkrÃ¤nzer,1
" Trustworthy Systems group, Data61 CSIRO",1
" Andreas Grapentin (University of Potsdam, HPI)",1
 Embox,1
 Hesham Almatary,1
 SYSGO,1
 Ãlvaro Figueroa (of Greencore Solutions),1
 Phoenix Systems,1
 Zoltan Herpai,1
 Intrinsic ID,1
 xnox,1
" Chaifangming (Huawei), Pengzhouhu (Huawei), Huerjia (Huawei)",1
 AWS,1
,1
 MINRES Technologies,1
 Keystone Team,1
" Vladimir Herdt (University of Bremen, AGRA)",1
 CHIPS Alliance Tools/DV workgroup,1
 Axiomise,1
 Victor Miguel de Morais Costa,1
 ASTC,1
 Fabrice Bellard,1
 Yang Li,1
 Joseph Rahmeh (Western Digital),1
 Andrew Waterman & Yunsup Lee (SiFive),1
 Aidan Dodds,1
 Takahiro Aoyagi,1
 Morten Borup Petersen,1
 IPADS,1
 Antmicro,1
 Benjamin Landers,1
" Sagar Karandikar (University of California, Berkeley), Bastian Koppelmann (University of Paderborn), Alex Suykov, Stefan Oâ€™Rear and Michael Clark (SiFive)",1
" Gaurav N Kothari, Parikshit P Sarnaik, Gokturk Yuksek (State University of New York at Binghamton)",1
 AndrÃ©s Castellanos,1
 Sebastian Macke,1
 Alec Roelke (University of Virginia),1
" Sagar Karandikar, Howard Mao, Donggyu Kim, David Biancolin, Alon Amid, Berkeley Architecture Research",1
 protonesso,1
 SecureRF Corp.,1
 Manuel A. Fernandez Montecelo,1
 NicolÃ¡s Ojeda BÃ¤r,1
 Cranelift core team,1
" Andrew Waterman (SiFive), Palmer Dabbelt (Google) & Jim Wilson (SiFive)",1
 T-Head (Alibaba group),1
 Anup Patel (Western Digital),1
 Jonathan Behrens (MIT),1
" JosÃ© Martins (UMinho), Sandro Pinto (UMinho)",1
" Tim Newsome (SiFive), Megan Wachs (SiFive), Palmer Dabbelt (Google)",1
 Cobham Gaisler,1
" Andrew Burgess (Embecosm), Palmer Dabbelt (Google)",1
 BlueSpec,1
 emmtrix Technologies GmbH,1
 IAR SystemsIAR Systems,1
 Liviu lonescu,1
" Palmer Dabbelt (Google), Andrew Waterman (SiFive), DJ Delorie (Red Hat), Darius Rad(Bluespec)",1
" Andrew Waterman (SiFive), Palmer Dabbelt (Google), Jim Wilson (SiFive), Kito Cheng (SiFive)",1
 Xavier Leroy,1
 Barcelona Supercomputing Center,1
 Andrew DaileyAndrew Dailey,1
" Matt Thomas (NetBSD), Reinoud Zandijk (NetBSD)",1
 Ruslan Bukin (FreeBSD),1
" Abner Chang (Hewlett Packard Enterprise), Daniel Schaefer (Hewlett Packard Enterprise)",1
 Rick Chen (Andes),1
 Luo Jia (Huazhong Univ. of Sci. & Tech.),1
" Ron Minnich (Google), Jonathan NeuschÃ¤fer",1
 TUM,1
 Nuclei System Technology,1
 PlatformIO,1
 RISC-V International,1
" Martin Maas (University of California, Berkeley)",1
 connectFree Corporation,1
 Rust Project,1
 Cheng Jin,1
" Alexey Baturo, Michael Knysnek, Martin Maas",1
 PerfXLab,1
 Andreas Rumpf and others,1
 David Frech,1
 Alex RÃ¸nne Petersen,1
 Matthias Koch,1
 Maxine team,1
 Lars Brinkhoff,1
 Microchip,1
" Benjamin Barenblat (Google), Michael Pratt (Google), Stef Oâ€™Rear",1
 Jeppe Johansen and others,1
 Eclipse OMR Project,1
 Yadong Wang,1
 AdaCore,1
 Antmicro / Google TF Lite team,1
 Tencent Open Source,1
 Khem Raj,1
" Andrew Waterman (SiFive), Albert Ou (SiFive), Palmer Dabbelt (Google)",1
 Mark Corbin (Embecosm),1
 Valtrix Systems,1
