,repo_name,create_date
0,spark-rapids-examples,2021-08-09
1,DALI,2018-06-01
2,NVFlare,2021-07-23
3,spark-rapids,2020-05-14
4,aistore,2017-12-14
5,spark-rapids-jni,2022-01-12
6,radtts,2022-06-02
7,DALI_deps,2021-03-15
8,fsi-samples,2019-06-13
9,thrust,2012-03-06
10,deepops,2018-05-24
11,NeMo,2019-08-05
12,cub,2013-02-15
13,apex,2018-04-23
14,gpu-operator,2019-02-26
15,OptiX_Apps,2020-02-10
16,cuCollections,2019-12-09
17,cloud-native-core,2020-03-20
18,nvindex-cloud,2020-01-07
19,NVTX,2020-03-23
20,FasterTransformer,2021-04-02
21,nvidia-settings,2010-07-25
22,air_sdk,2022-07-21
23,nccl,2015-11-14
24,trt-samples-for-hackathon-cn,2021-03-19
25,nvidia-persistenced,2013-05-02
26,nvidia-xconfig,2012-09-12
27,tensorflow,2020-05-13
28,grcuda,2019-08-21
29,flowtron,2020-04-30
30,open-gpu-kernel-modules,2022-05-02
31,go-nvml,2020-12-02
32,libnvidia-container,2017-04-14
33,cuda-repo-management,2021-10-20
34,enroot,2018-10-17
35,edk2-edkrepo-manifest,2022-03-01
36,optix-toolkit,2022-02-09
37,gbm-bench,2019-07-17
38,edk2,2022-03-01
39,vagrant-swift-all-in-one,2013-03-07
40,libglvnd,2013-08-27
41,container-canary,2022-03-15
42,TensorRT,2019-05-02
43,runx,2020-03-27
44,spark-xgboost-examples,2020-06-10
45,cuQuantum,2021-12-04
46,pyxis,2019-08-22
47,clara-holoscan,2022-06-07
48,nsight-vscode-edition,2021-05-19
49,edk2-platforms,2022-03-01
50,libcudacxx,2020-09-17
51,nvcomp,2020-07-24
52,DeepLearningExamples,2018-05-02
53,VideoProcessingFramework,2019-12-12
54,MinkowskiEngine,2019-04-04
55,nvidia-modprobe,2013-04-09
56,jetson-gpio,2019-03-27
57,fleet-command,2021-05-28
58,open-gpu-doc,2019-04-01
59,cheminformatics,2020-09-30
60,DLSS,2021-07-27
61,proxyfs,2017-07-07
62,k8s-device-plugin,2017-10-10
63,dcgm-exporter,2021-08-11
64,energy-sdk-l2rpn,2022-05-10
65,MagnumIO,2020-12-04
66,edk2-nvidia,2022-03-01
67,cuDecomp,2022-06-21
68,gpu-feature-discovery,2019-04-24
69,LDDL,2022-07-21
70,nvidia-container-toolkit,2019-11-14
71,VisRTX,2019-03-20
72,clara-holoscan-perf-tools,2022-04-25
73,Q2RTX,2019-05-31
74,vgpu-device-manager,2022-06-16
75,cudnn-frontend,2021-01-22
76,warp,2022-03-18
77,MatX,2021-09-14
78,meta-tegra-clara-holoscan-mgx,2022-06-01
79,cuda-samples,2018-03-27
80,CleanUNet,2022-07-05
81,cuda-python,2021-06-28
82,sparkucx,2021-08-26
83,swift,2021-02-02
84,cutlass,2017-11-30
85,zypper-packaging-nvidia-driver,2021-03-17
86,yum-packaging-nvidia-settings,2021-03-05
87,yum-packaging-nvidia-modprobe,2021-03-05
88,yum-packaging-nvidia-driver,2021-03-05
89,jitify,2017-05-08
90,yum-packaging-nvidia-xconfig,2021-03-05
91,DCGM,2020-12-15
92,yum-packaging-nvidia-persistenced,2021-03-05
93,clara-dicom-adapter,2020-09-21
94,spark-rapids-ml,2021-09-23
95,yum-packaging-nvidia-kmod-common,2021-03-05
96,yum-packaging-dkms-nvidia,2021-03-05
97,Bobber,2021-02-04
98,GPUStressTest,2020-11-18
99,kubevirt-gpu-device-plugin,2019-08-12
100,waveglow,2018-11-08
101,spark-rapids-benchmarks,2022-05-24
102,nvbench,2021-03-03
103,DALI_extra,2018-10-18
104,tacotron2,2018-05-03
105,CUDALibrarySamples,2019-05-09
106,rtx_compute_samples,2020-02-28
107,yum-packaging-nvidia-plugin,2020-09-04
108,GPUPowerTest,2022-06-06
109,ais-etl,2020-05-06
110,ngc-container-replicator,2018-06-14
111,BigVGAN,2022-06-07
112,energy-sdk,2020-09-21
113,nephele-packages,2020-12-07
114,FFmpeg-GPU-Demo,2022-03-01
115,cccl,2020-09-17
116,jetson-rdma-picoevb,2019-04-01
117,mellotron,2019-11-21
118,clara-ia,2022-04-21
119,clara-viz,2021-12-02
120,gdrcopy,2014-12-08
121,clara-train-examples,2020-11-10
122,gds-nvidia-fs,2020-12-02
123,ansible-collection-dpu-ops,2022-04-20
124,nvtx-plugins,2019-05-22
125,ai-assisted-annotation-client,2019-01-23
126,dllogger,2019-10-17
127,nvbandwidth,2022-04-06
128,nvscic2c,2019-01-30
129,MDL-SDK,2018-08-08
130,blossom-action,2021-04-23
131,ansible-role-enroot,2019-08-20
132,nvidia-docker,2015-11-04
133,DIGITS,2015-03-17
134,gitlab-answer-app,2020-06-11
135,CloudXR,2020-04-02
136,gvdb-voxels,2017-05-04
137,nvidia-container-runtime,2017-09-05
138,edk2-nvidia-non-osi,2022-03-01
139,framework-determinism,2019-03-18
140,nccl-tests,2017-08-08
141,l2fwd-nv,2021-01-26
142,transformer-ls,2021-07-22
143,vid2vid,2018-08-14
144,nephele,2020-12-07
145,compute-sanitizer-samples,2019-03-06
146,dgx-selinux,2019-02-28
147,pix2pixHD,2017-12-01
148,mpi-acx,2022-06-07
149,5t5g,2021-04-20
150,container-config,2019-11-14
151,data-science-blueprints,2021-08-09
152,nsight-training,2020-03-16
153,ansible-role-nvidia-docker,2019-04-30
154,clara-holoscan-embedded-sdk,2022-06-07
155,go-gpuallocator,2019-06-06
156,fission,2019-09-30
157,speechsquad,2020-10-05
158,egl-wayland,2016-12-19
159,MAXINE-AFX-SDK,2020-09-21
160,ansible-role-nvidia-driver,2019-04-30
161,O-RAN-Archive,2021-09-23
162,air_agent,2022-08-02
163,nsight-aftermath-samples,2019-08-07
164,flownet2-pytorch,2017-11-20
165,go-dcgm,2021-07-12
166,nvidia-installer,2012-09-12
167,multi-gpu-programming-models,2018-05-11
168,ngc-container-environment-modules,2020-05-14
169,AMGX,2017-10-04
170,hpc-container-maker,2018-03-22
171,nvidia-gcp-samples,2020-10-21
172,doroce-linux,2020-12-08
173,nvaitc-toolkit,2020-10-27
174,ais-k8s,2020-05-06
175,cocoapi,2018-11-05
176,Megatron-LM,2019-03-21
177,spark-xgboost,2020-06-10
178,mig-parted,2021-02-11
179,GTC-2021-A31202-Code,2021-11-09
180,nvbench_demo,2021-03-03
181,MAXINE-AR-SDK,2020-03-16
182,FastPhotoStyle,2018-02-14
183,ProViz-AI-Samples,2021-09-21
184,clara-platform-python-client,2020-08-28
185,gpu-monitoring-tools,2018-05-20
186,retinanet-examples,2019-03-14
187,data-science-stack,2020-02-04
188,build-system-archive-import-examples,2021-09-14
189,clara-pipeline-operator-sizing-tool,2021-08-06
190,MAXINE-VFX-SDK,2020-08-06
191,sortedmap,2016-07-23
192,Eigensolver_gpu,2017-05-26
193,clara-platform-ansible-playbooks,2021-07-12
194,tensorrt-laboratory,2018-06-29
195,DL4AGX,2019-04-08
196,cstruct,2016-07-23
197,caffe,2015-02-21
198,Imageinary,2020-10-30
199,yum-packaging-fabric-manager,2021-03-10
200,DeepRecommender,2017-09-08
201,proxyfs-vfs,2017-10-05
202,rapidAligner,2020-11-05
203,PyProf,2020-03-06
204,dw-ros,2021-01-20
205,GraphQSat,2020-10-15
206,sampleQAT,2020-07-06
207,docker-swift,2013-10-10
208,nv-wavenet,2018-03-21
209,Dataset_Utilities,2018-07-12
210,Dataset_Synthesizer,2018-07-03
211,cbootimage,2013-08-28
212,PixelView,2020-06-17
213,nvstrings,2018-11-29
214,NVIDIAOpticalFlowSDK,2019-05-13
215,tegra-pinmux-scripts,2014-04-22
216,mcmc-bnn-example,2021-01-19
217,OpenSeq2Seq,2017-09-08
218,ising-gpu,2019-06-13
219,eglexternalplatform,2016-12-19
220,python-jetson,2018-12-19
221,cbootimage-configs,2013-08-28
222,healthcare-on-tap-TRT-TRITON-demo,2020-08-31
223,ubuntu-packaging-nvidia-settings,2021-02-25
224,yum-packaging-libnvidia-nscq,2021-03-10
225,kmeans,2017-05-25
226,ubuntu-packaging-nvidia-modprobe,2021-02-25
227,tegrarcm,2013-08-28
228,apt-packaging-fabric-manager,2021-03-10
229,ubuntu-packaging-nvidia-driver,2021-02-25
230,go-tfdata,2020-05-05
231,ContrastiveLosses4VRD,2019-03-18
232,swiftstack-collectd-plugin,2021-01-21
233,nvvl,2018-03-27
234,gpu-rest-engine,2016-02-26
235,cuda-cpp-grammar,2021-03-24
236,proxyfs-jrpc-client,2017-10-05
237,video-sdk-samples,2018-11-26
238,object-detection-tensorrt-example,2019-06-19
239,nvidia-query-resource-opengl,2015-09-02
240,NVSM,2019-05-30
241,vdisc,2019-10-30
242,df-nvshmem-prototype,2018-04-26
243,cnmem,2015-07-07
244,Falcor,2016-08-03
245,cuda-profiler,2017-07-17
246,ngc-examples,2017-10-25
247,Korgi,2019-05-31
248,sentiment-discovery,2017-11-30
249,UnsupervisedLandmarkLearning,2020-01-13
250,presto-mapd-connector,2017-12-20
251,dlinput-tf,2019-05-31
252,unsupervised-video-interpolation,2020-01-23
253,online-softmax,2018-07-26
254,onnx-tensorrt,2018-06-05
255,SKA-gpu-multiscale-clean,2016-08-08
256,nebula-nsight,2013-04-19
257,ADLR,2018-04-30
258,yum-packaging-precompiled-kmod,2020-03-26
259,NvPipe,2017-01-12
260,ipyparaview,2019-09-27
261,Milano,2018-09-04
262,three.js,2014-07-03
263,apt-packaging-libnvidia-nscq,2021-03-10
264,docker-distribution,2017-05-09
265,url-polyfill,2018-03-15
266,docker-volume-netshare,2017-02-28
267,swiftstack-collectd,2011-12-30
268,egl-gbm,2021-12-20
269,partialconv,2018-11-05
270,kokkos,2017-04-19
271,tegra-uboot-flasher-scripts,2013-06-10
272,torch-cudnn,2016-08-15
273,packer-builder-xenserver,2017-06-27
274,PRBench,2016-10-06
275,tegra-nouveau-rootfs,2014-09-11
276,SKA-gpu-direct-convolve,2016-08-08
277,SKA-gpu-stefcal,2016-08-08
278,Forma,2016-07-28
279,SKA-gpu-reproject,2016-08-08
280,remorac,2015-08-19
281,SKA-gpu-degrid,2016-08-08
282,tegra-rootfs-scripts,2014-09-01
283,torch-distro,2016-08-15
284,torch-nccl,2016-08-15
285,torch-cunn,2016-08-15
286,CoMD-CUDA,2013-11-07
287,torch-android,2016-08-15
288,torch-cutorch,2016-08-15
289,vdpau-hevc-example,2015-06-09
290,vdpau-win-x11,2015-06-09
291,cuda-gdb,2013-04-15
292,cpu-microcode,2015-02-20
293,semantic-segmentation,2019-06-14
294,tegra-uboot-flasher-manifests,2013-06-10
295,gef-nsight,2012-05-10
296,ptp-nsight,2013-06-13
297,tdl,2014-02-25
298,webgl-path-tracing,2014-09-11
299,nvgpu,2014-11-25
300,mxnet_to_onnx,2018-01-11
301,WebGL,2013-06-19
302,pynvrtc,2015-05-13
303,winex_lgpl,2015-07-15
304,scenejs,2014-06-05
305,cdt-nsight,2011-08-24
306,SKA-gpu-grid,2016-08-08
307,tegra-uboot-scripts,2013-08-05
